file, totalLetter, totalWord, totalSentence, vietnamese formula result
data/ppVietnamese_by_catalog/Difficult/l/l (37).txt,42866,6151,115,18.63528758137595
data/ppVietnamese_by_catalog/Difficult/l/l (38).txt,70151,8947,417,13.972584570099592
data/ppVietnamese_by_catalog/Difficult/l/l (4).txt,35461,4900,155,14.7964581961817
data/ppVietnamese_by_catalog/Difficult/l/l (41).txt,39754,5739,198,13.650951226852953
data/ppVietnamese_by_catalog/Difficult/l/l (42).txt,76749,11019,444,12.893815718795299
data/ppVietnamese_by_catalog/Difficult/l/l (44).txt,39475,5698,193,13.760402068174088
data/ppVietnamese_by_catalog/Difficult/l/l (46).txt,13594,2200,55,14.35818181818182
data/ppVietnamese_by_catalog/Difficult/l/l (49).txt,22613,3078,109,14.341013764448498
data/ppVietnamese_by_catalog/Difficult/l/l (5).txt,4818,827,22,13.169935143453888
data/ppVietnamese_by_catalog/Difficult/l/l (50).txt,23061,3040,123,14.1147999572101
data/ppVietnamese_by_catalog/Difficult/l/l (51).txt,64310,8609,341,13.989445744734848
data/ppVietnamese_by_catalog/Difficult/l/l (52).txt,7174,823,30,16.920445524503847
data/ppVietnamese_by_catalog/Difficult/l/l (54).txt,28965,3863,153,14.045790210121496
data/ppVietnamese_by_catalog/Difficult/l/l (55).txt,35976,5108,158,14.551962174003549
data/ppVietnamese_by_catalog/Difficult/l/l (59).txt,53194,6911,259,14.7306890866723
data/ppVietnamese_by_catalog/Difficult/l/l (60).txt,15330,1771,55,17.75225296442688
data/ppVietnamese_by_catalog/Difficult/l/l (62).txt,63398,9692,330,12.956481696869645
data/ppVietnamese_by_catalog/Difficult/l/l (63).txt,50078,7146,207,14.920020929921272
data/ppVietnamese_by_catalog/Difficult/l/l (64).txt,50540,6978,185,16.029309722448158
data/ppVietnamese_by_catalog/Difficult/l/l (65).txt,32691,4375,227,12.799082693517935
data/ppVietnamese_by_catalog/Difficult/l/l (66).txt,50860,7326,266,13.393064561485616
data/ppVietnamese_by_catalog/Difficult/l/l (68).txt,23952,3241,127,13.884560272298579
data/ppVietnamese_by_catalog/Difficult/l/l (72).txt,15566,2297,77,13.519564197230721
data/ppVietnamese_by_catalog/Difficult/l/l (73).txt,54644,7691,247,14.4373860398373
data/ppVietnamese_by_catalog/Difficult/l/l (74).txt,18540,2423,53,18.44673918968377
data/ppVietnamese_by_catalog/Difficult/l/l (75).txt,53052,7564,282,13.392037685040375
data/ppVietnamese_by_catalog/Difficult/l/l (76).txt,36656,5552,123,16.23225322743141
data/ppVietnamese_by_catalog/Difficult/l/l (77).txt,31484,4596,143,14.128581253385434
data/ppVietnamese_by_catalog/Difficult/l/l (78).txt,42148,5823,194,14.479479525734249
data/ppVietnamese_by_catalog/Difficult/l/l (79).txt,63884,8170,315,14.825979677876862
data/ppVietnamese_by_catalog/Difficult/l/l (8).txt,14061,2046,47,16.451251013914018
data/ppVietnamese_by_catalog/Difficult/l/l (80).txt,53663,7670,314,12.878309901261428
data/ppVietnamese_by_catalog/Difficult/l/l (81).txt,4662,735,27,12.13015873015873
data/ppVietnamese_by_catalog/Difficult/l/l (82).txt,7486,1131,68,10.564313205388256
data/ppVietnamese_by_catalog/Difficult/l/l (84).txt,27103,3759,76,18.312429817560663
data/ppVietnamese_by_catalog/Difficult/l/l (85).txt,55084,7425,328,13.364880101831321
data/ppVietnamese_by_catalog/Difficult/l/l (86).txt,5571,848,21,15.2153414195867
data/ppVietnamese_by_catalog/Difficult/l/l (87).txt,25419,3782,119,13.798396651098301
data/ppVietnamese_by_catalog/Difficult/l/l (88).txt,32404,4654,142,14.480155189841241
data/ppVietnamese_by_catalog/Difficult/l/l (89).txt,28526,3903,137,14.315283957128244
data/ppVietnamese_by_catalog/Difficult/l/l (9).txt,7851,1208,28,15.626915799432357
data/ppVietnamese_by_catalog/Difficult/l/l (90).txt,32145,5311,139,13.746791578223018
data/ppVietnamese_by_catalog/Difficult/l/l (91).txt,64252,9367,197,17.22844471275387
data/ppVietnamese_by_catalog/Difficult/l/l (93).txt,21929,3086,144,12.498035932886872
data/ppVietnamese_by_catalog/Difficult/l/l (94).txt,32620,5332,140,13.85270174686529
data/ppVietnamese_by_catalog/Difficult/l/l (95).txt,71118,10229,458,12.371983798097794
data/ppVietnamese_by_catalog/Difficult/l/l (96).txt,70411,9794,258,15.970642997690408
data/ppVietnamese_by_catalog/Difficult/l/l (97).txt,35222,5288,214,12.263538676884359
data/ppVietnamese_by_catalog/Difficult/lv/lv (1).txt,21423,2880,136,13.112377450980393
data/ppVietnamese_by_catalog/Difficult/lv/lv (10).txt,57771,7750,346,13.38841394741749
data/ppVietnamese_by_catalog/Difficult/lv/lv (100).txt,23239,3201,136,13.227190491941855
data/ppVietnamese_by_catalog/Difficult/lv/lv (101).txt,18937,2513,104,13.903921913740856
data/ppVietnamese_by_catalog/Difficult/lv/lv (102).txt,39623,5606,254,12.550099022138824
data/ppVietnamese_by_catalog/Difficult/lv/lv (103).txt,28074,3969,173,12.7350757387091
data/ppVietnamese_by_catalog/Difficult/lv/lv (104).txt,13138,2000,93,11.439075268817206
data/ppVietnamese_by_catalog/Difficult/lv/lv (105).txt,38242,5480,254,12.271894936490604
data/ppVietnamese_by_catalog/Difficult/lv/lv (106).txt,32512,4689,202,12.509923372375624
data/ppVietnamese_by_catalog/Difficult/lv/lv (107).txt,9412,1342,32,16.41432563338301
data/ppVietnamese_by_catalog/Difficult/lv/lv (108).txt,28314,4460,202,11.112702570705501
data/ppVietnamese_by_catalog/Difficult/lv/lv (11).txt,28175,4152,184,12.084816117952585
data/ppVietnamese_by_catalog/Difficult/lv/lv (12).txt,27902,3576,176,13.66878177750661
data/ppVietnamese_by_catalog/Difficult/lv/lv (13).txt,28054,3965,172,12.761284788410215
data/ppVietnamese_by_catalog/Difficult/lv/lv (14).txt,26217,3675,173,12.516310015335613
data/ppVietnamese_by_catalog/Difficult/lv/lv (15).txt,35266,4865,232,12.691807243860087
data/ppVietnamese_by_catalog/Difficult/lv/lv (16).txt,31321,4629,500,9.384112421689348
data/ppVietnamese_by_catalog/Difficult/lv/lv (17).txt,64575,8595,394,13.389122172907754
data/ppVietnamese_by_catalog/Difficult/lv/lv (18).txt,23499,3360,177,11.784110169491527
data/ppVietnamese_by_catalog/Difficult/lv/lv (19).txt,54307,7902,315,12.762270672885705
data/ppVietnamese_by_catalog/Difficult/lv/lv (2).txt,28784,3626,157,14.495556156702655
data/ppVietnamese_by_catalog/Difficult/lv/lv (20).txt,29866,4233,170,13.091032364753133
data/ppVietnamese_by_catalog/Difficult/lv/lv (21).txt,14949,2150,111,11.779920385501782
data/ppVietnamese_by_catalog/Difficult/lv/lv (22).txt,27616,3922,184,12.34565439106046
data/ppVietnamese_by_catalog/Difficult/lv/lv (23).txt,27501,3574,235,12.431181702365784
data/ppVietnamese_by_catalog/Difficult/lv/lv (24).txt,32586,4761,258,11.379418531381425
data/ppVietnamese_by_catalog/Difficult/lv/lv (25).txt,58333,7821,304,14.062413020948998
data/ppVietnamese_by_catalog/Difficult/lv/lv (26).txt,21930,3142,158,11.936476806678002
data/ppVietnamese_by_catalog/Difficult/lv/lv (27).txt,21037,2971,167,11.719645596051251
data/ppVietnamese_by_catalog/Difficult/lv/lv (28).txt,10532,1595,67,11.967463622327237
data/ppVietnamese_by_catalog/Difficult/lv/lv (29).txt,40203,5672,274,12.31609803053545
data/ppVietnamese_by_catalog/Difficult/lv/lv (3).txt,58839,9282,543,10.096871149649829
data/ppVietnamese_by_catalog/Difficult/lv/lv (30).txt,35047,4811,200,13.380528164622739
data/ppVietnamese_by_catalog/Difficult/lv/lv (31).txt,19757,2939,166,10.985672940144383
data/ppVietnamese_by_catalog/Difficult/lv/lv (32).txt,17896,2464,109,13.047074943405221
data/ppVietnamese_by_catalog/Difficult/lv/lv (33).txt,54384,7383,333,13.16645690794411
data/ppVietnamese_by_catalog/Difficult/lv/lv (34).txt,56814,7986,366,12.592334125703587
data/ppVietnamese_by_catalog/Difficult/lv/lv (35).txt,20743,2946,153,11.93312567389481
data/ppVietnamese_by_catalog/Difficult/lv/lv (36).txt,25028,3494,138,13.390041727848153
data/ppVietnamese_by_catalog/Difficult/lv/lv (37).txt,20287,2913,130,12.410134410731732
data/ppVietnamese_by_catalog/Difficult/lv/lv (38).txt,20224,2767,159,12.098500976240643
data/ppVietnamese_by_catalog/Difficult/lv/lv (39).txt,51110,6976,311,13.139269963715744
data/ppVietnamese_by_catalog/Difficult/lv/lv (4).txt,49041,7935,507,9.490858044093466
data/ppVietnamese_by_catalog/Difficult/lv/lv (40).txt,54585,7941,318,12.741978459060096
data/ppVietnamese_by_catalog/Difficult/lv/lv (41).txt,21934,3237,158,11.649522725761859
data/ppVietnamese_by_catalog/Difficult/lv/lv (42).txt,54971,7939,405,11.768837447263781
data/ppVietnamese_by_catalog/Difficult/lv/lv (43).txt,43194,6718,310,11.19337782942312
data/ppVietnamese_by_catalog/Difficult/lv/lv (44).txt,35853,4954,163,14.552891757543634
data/ppVietnamese_by_catalog/Difficult/lv/lv (45).txt,50840,6866,317,13.141065975901
data/ppVietnamese_by_catalog/Difficult/lv/lv (46).txt,15760,2224,125,11.731061870503598
data/ppVietnamese_by_catalog/Difficult/lv/lv (47).txt,15406,2319,124,11.02708411578962
data/ppVietnamese_by_catalog/Difficult/lv/lv (48).txt,37946,5463,246,12.333464146832572
data/ppVietnamese_by_catalog/Difficult/lv/lv (49).txt,34613,4934,179,13.543250459133183
data/ppVietnamese_by_catalog/Difficult/lv/lv (5).txt,52588,7448,387,11.97047047297091
data/ppVietnamese_by_catalog/Difficult/lv/lv (50).txt,12407,1997,84,11.180400362448434
data/ppVietnamese_by_catalog/Difficult/lv/lv (51).txt,17042,2673,118,11.281724336903245
data/ppVietnamese_by_catalog/Difficult/lv/lv (53).txt,50284,6924,312,12.963013820379505
data/ppVietnamese_by_catalog/Difficult/lv/lv (54).txt,51850,7066,398,12.22666659080856
data/ppVietnamese_by_catalog/Difficult/lv/lv (55).txt,40972,5573,257,13.04071520484046
data/ppVietnamese_by_catalog/Difficult/lv/lv (56).txt,40992,5553,257,13.085312177453769
data/ppVietnamese_by_catalog/Difficult/lv/lv (57).txt,56806,7887,363,12.750424749587928
data/ppVietnamese_by_catalog/Difficult/lv/lv (58).txt,40743,5348,237,13.749804177751688
data/ppVietnamese_by_catalog/Difficult/lv/lv (6).txt,15171,2159,103,12.245961587754127
data/ppVietnamese_by_catalog/Difficult/lv/lv (60).txt,48044,6387,413,12.137286960385257
data/ppVietnamese_by_catalog/Difficult/lv/lv (61).txt,28187,3781,186,12.975403616839149
data/ppVietnamese_by_catalog/Difficult/lv/lv (62).txt,30739,3985,188,13.666714274273204
data/ppVietnamese_by_catalog/Difficult/lv/lv (64).txt,14150,2246,151,9.57501253147612
data/ppVietnamese_by_catalog/Difficult/lv/lv (65).txt,9763,1526,73,10.976365823443867
data/ppVietnamese_by_catalog/Difficult/lv/lv (66).txt,29844,4172,250,11.644407286673058
data/ppVietnamese_by_catalog/Difficult/lv/lv (68).txt,39412,5628,258,12.368476554106543
data/ppVietnamese_by_catalog/Difficult/lv/lv (69).txt,43823,6643,477,9.979062716669333
data/ppVietnamese_by_catalog/Difficult/lv/lv (7).txt,32889,4652,164,13.8128955812344
data/ppVietnamese_by_catalog/Difficult/lv/lv (70).txt,41359,6111,275,11.980282471251542
data/ppVietnamese_by_catalog/Difficult/lv/lv (71).txt,23038,3196,170,12.17677096370463
data/ppVietnamese_by_catalog/Difficult/lv/lv (72).txt,35229,4864,232,12.678712000907442
data/ppVietnamese_by_catalog/Difficult/lv/lv (73).txt,35318,4787,228,12.95491975709066
data/ppVietnamese_by_catalog/Difficult/lv/lv (74).txt,50489,7219,339,12.24680699612339
data/ppVietnamese_by_catalog/Difficult/lv/lv (75).txt,60065,8274,423,12.431031840320099
data/ppVietnamese_by_catalog/Difficult/lv/lv (76).txt,43549,6378,299,11.922225753032738
data/ppVietnamese_by_catalog/Difficult/lv/lv (77).txt,20552,2678,124,13.668122575826928
data/ppVietnamese_by_catalog/Difficult/lv/lv (78).txt,25620,3679,136,13.337991861599221
data/ppVietnamese_by_catalog/Difficult/lv/lv (79).txt,12886,1944,75,12.441201646090533
data/ppVietnamese_by_catalog/Difficult/lv/lv (8).txt,51806,7065,399,12.206887707591697
data/ppVietnamese_by_catalog/Difficult/lv/lv (80).txt,37118,5063,239,12.899273174734745
data/ppVietnamese_by_catalog/Difficult/lv/lv (81).txt,20552,2678,124,13.668122575826928
data/ppVietnamese_by_catalog/Difficult/lv/lv (82).txt,39413,5181,259,13.21520956807581
data/ppVietnamese_by_catalog/Difficult/lv/lv (83).txt,36503,5272,252,12.03200255317099
data/ppVietnamese_by_catalog/Difficult/lv/lv (84).txt,28523,3859,171,13.296036454615852
data/ppVietnamese_by_catalog/Difficult/lv/lv (85).txt,41714,5385,268,13.511321526074365
data/ppVietnamese_by_catalog/Difficult/lv/lv (86).txt,29568,3846,185,13.533812876839399
data/ppVietnamese_by_catalog/Difficult/lv/lv (87).txt,48715,6578,331,12.786115211466583
data/ppVietnamese_by_catalog/Difficult/lv/lv (88).txt,17383,2636,94,12.797433248313048
data/ppVietnamese_by_catalog/Difficult/lv/lv (89).txt,18456,3001,102,12.184213758812422
data/ppVietnamese_by_catalog/Difficult/lv/lv (9).txt,44499,6050,352,12.147913223140495
data/ppVietnamese_by_catalog/Difficult/lv/lv (90).txt,45842,6495,263,13.055252797559984
data/ppVietnamese_by_catalog/Difficult/lv/lv (91).txt,48715,6578,330,12.798159521637782
data/ppVietnamese_by_catalog/Difficult/lv/lv (92).txt,38266,5169,130,16.758266291649925
data/ppVietnamese_by_catalog/Difficult/lv/lv (93).txt,11802,1721,75,12.304615146232809
data/ppVietnamese_by_catalog/Difficult/lv/lv (94).txt,30682,3947,171,14.163371988793028
data/ppVietnamese_by_catalog/Difficult/lv/lv (95).txt,12253,1672,72,13.301143009037744
