filename,words/sentences,letters/senetences,letters/words,blw,lable,predict
traindata,traindata,traindata,traindata,traindata,traindata,traindata
data/ppVietnamese_by_catalog/Easy/sgk/sgk (685).txt,12.75,73.5,5.764705882352941,8.695652173913043,1,2.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (202).txt,11.092592592592593,57.31481481481482,5.166944908180301,19.298245614035086,1,1.0
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (53).txt,18.615384615384617,101.6923076923077,5.462809917355372,18.181818181818183,1,2.0
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (78).txt,17.272727272727273,93.36363636363636,5.405263157894737,11.11111111111111,1,2.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (11).txt,18.0,110.4,6.133333333333334,16.964285714285715,2,2.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (186).txt,15.444444444444445,91.48148148148148,5.92326139088729,11.11111111111111,2,2.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (69).txt,16.708333333333332,94.45833333333333,5.653366583541147,11.940298507462686,2,2.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (484).txt,14.025641025641026,81.97435897435898,5.844606946983546,14.210526315789473,2,2.0
data/ppVietnamese_by_catalog/Easy/tn-1/tn-1 (77).txt,16.75,108.5,6.477611940298507,13.88888888888889,1,2.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (774).txt,27.125,172.0,6.341013824884793,9.782608695652174,2,2.0
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (278).txt,41.4,332.1,8.021739130434783,16.296296296296298,3,2.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (329).txt,22.8,139.8,6.131578947368421,12.727272727272727,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (393).txt,24.6875,166.875,6.7594936708860756,13.157894736842104,2,2.0
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (236).txt,52.6,382.6,7.273764258555133,14.432989690721648,3,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_NLD_/SKDA_NLD_ (1045).txt,45.5,325.0,7.142857142857143,16.666666666666664,2,2.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (8).txt,17.88888888888889,114.11111111111111,6.37888198757764,4.477611940298507,2,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (120).txt,12.904761904761905,68.61904761904762,5.317343173431734,20.18348623853211,1,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (825).txt,34.9277108433735,271.50602409638554,7.773370127630217,11.598746081504702,3,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (179).txt,38.833333333333336,298.030303030303,7.674600078033555,11.178861788617885,3,2.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (342).txt,22.141414141414142,128.46464646464648,5.802007299270073,11.47227533460803,2,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (371).txt,12.4,78.8,6.354838709677419,16.216216216216218,1,2.0
data/ppVietnamese_by_catalog/Easy/tn-1/tn-1 (101).txt,9.142857142857142,44.04761904761905,4.817708333333333,14.285714285714285,1,1.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (125).txt,16.789473684210527,97.15789473684211,5.786833855799373,14.17910447761194,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-7/vm-7 (54).txt,17.347826086956523,93.8695652173913,5.4110275689223055,16.93548387096774,1,2.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (60).txt,33.09090909090909,182.9090909090909,5.527472527472527,13.91304347826087,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (816).txt,24.416666666666668,146.25,5.989761092150171,15.384615384615385,2,2.0
data/ppVietnamese_by_catalog/Normal/TGT_TT_/TGT_TT_ (191).txt,34.57142857142857,214.14285714285714,6.194214876033058,9.615384615384617,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-7/vm-7 (102).txt,17.294117647058822,98.82352941176471,5.714285714285714,13.432835820895523,1,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (404).txt,13.875,78.0,5.621621621621622,14.925373134328357,1,2.0
data/ppVietnamese_by_catalog/Easy/vm-3/vm-3 (28).txt,8.5,49.666666666666664,5.8431372549019605,7.142857142857142,1,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (531).txt,24.714285714285715,147.9047619047619,5.984585741811175,16.666666666666664,2,2.0
data/ppVietnamese_by_catalog/Normal/DL_TN_/DL_TN_ (309).txt,17.75,118.5,6.676056338028169,13.043478260869565,2,2.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (294).txt,16.916666666666668,92.02083333333333,5.439655172413793,13.653136531365314,1,2.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (152).txt,15.714285714285714,97.21428571428571,6.1863636363636365,12.903225806451612,2,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (920).txt,26.727272727272727,175.56060606060606,6.56859410430839,10.141987829614605,3,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (227).txt,18.454545454545453,114.27272727272727,6.192118226600985,14.468085106382977,2,2.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (290).txt,15.157894736842104,86.8157894736842,5.727430555555555,17.587939698492463,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (85).txt,20.285714285714285,127.71428571428571,6.295774647887324,15.277777777777779,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (439).txt,20.272727272727273,137.77272727272728,6.7959641255605385,13.106796116504855,2,2.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (646).txt,23.692307692307693,148.84615384615384,6.282467532467533,17.796610169491526,2,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (668).txt,17.5,119.5,6.828571428571428,13.636363636363635,1,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (412).txt,11.19047619047619,83.61904761904762,7.472340425531915,12.5,2,2.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (175).txt,18.0,125.0,6.944444444444445,9.090909090909092,2,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (632).txt,10.833333333333334,72.88888888888889,6.728205128205128,24.418604651162788,1,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (614).txt,10.6,65.3,6.160377358490566,7.142857142857142,1,2.0
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (165).txt,19.142857142857142,100.92857142857143,5.272388059701493,16.260162601626014,1,2.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (312).txt,18.428571428571427,113.42857142857143,6.155038759689923,10.81081081081081,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (738).txt,12.021739130434783,73.67391304347827,6.128390596745027,14.17004048582996,2,2.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (211).txt,21.9,151.2,6.904109589041096,12.121212121212121,2,2.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (306).txt,19.533333333333335,112.6,5.764505119453925,10.256410256410255,2,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (127).txt,38.76,249.72,6.442724458204334,12.285714285714286,3,2.0
data/ppVietnamese_by_catalog/Normal/LS_VNE_/LS_VNE_ (27).txt,18.8,102.4,5.446808510638298,18.64406779661017,2,2.0
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (81).txt,17.0,246.26666666666668,14.486274509803922,22.289156626506024,3,2.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (312).txt,11.727272727272727,84.9090909090909,7.24031007751938,14.705882352941178,2,2.0
data/ppVietnamese_by_catalog/Normal/HS_VNE_/HS_VNE_ (149).txt,10.727272727272727,57.45454545454545,5.3559322033898304,28.07017543859649,2,1.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (700).txt,18.5,138.25,7.472972972972973,14.285714285714285,2,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (421).txt,33.13513513513514,241.3108108108108,7.282626427406199,13.005780346820808,3,2.0
data/ppVietnamese_by_catalog/Difficult/l/l (77).txt,32.13986013986014,220.16783216783216,6.850304612706702,12.133891213389122,3,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (206).txt,24.65625,189.03125,7.666666666666667,11.297071129707113,3,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (598).txt,22.333333333333332,157.66666666666666,7.059701492537314,13.513513513513514,1,2.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (105).txt,24.714285714285715,157.42857142857142,6.369942196531792,9.230769230769232,2,2.0
data/ppVietnamese_by_catalog/Difficult/l/l (149).txt,21.975824175824176,158.09450549450548,7.194019401940194,11.438474870017332,3,2.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (54).txt,24.9,162.3,6.518072289156627,11.214953271028037,2,2.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (232).txt,8.171052631578947,45.68421052631579,5.5909822866344605,18.181818181818183,1,1.0
data/ppVietnamese_by_catalog/Easy/t/t (34).txt,12.90625,73.78125,5.716707021791768,12.883435582822086,1,2.0
data/ppVietnamese_by_catalog/Normal/DL_TN_/DL_TN_ (312).txt,24.88888888888889,150.66666666666666,6.053571428571429,10.81081081081081,2,2.0
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (278).txt,12.71111111111111,64.42222222222222,5.068181818181818,17.587939698492463,1,1.0
data/ppVietnamese_by_catalog/Difficult/tl/tl (114).txt,11.846511627906978,86.25581395348837,7.2811150372987825,10.5,3,2.0
