10,B,4.0,1,A ,17.0,3, B
10,B,9.0,1, B,15.0,3, B
10,B,7.0,1, B,12.0,1, B
10,B,12.0,1, B,16.916666666666668,12, B
10,B,7.0,1, B,15.0,1, B
10,B,11.0,1, B,19.5,2, B
10,B,10.0,1, B,19.0,1, B
10,B,5.0,1, B,9.5,2, B
10,B,5.0,1, B,15.125,8, B
10,B,19.0,2, B,44.5,2, B
10,B,7.0,1, B,14.25,4, B
10,B,12.0,1, B,13.0,1, B
10,B,15.0,1, B,14.0,1, B
10,B,8.0,1, B,15.125,8, B
10,B,8.0,1,A ,17.0,5, B
10,B,9.0,1, B,12.0,1, B
10,B,13.0,1, B,12.285714285714286,7, B
10,B,12.0,1, B,21.0,2, B
10,B,8.0,1, B,25.0,2, B
10,B,7.0,1, B,15.0,1, B
10,B,19.0,1, B,12.0,1, B
10,B,6.0,1, B,16.0,1, B
10,B,4.0,1,A ,28.0,1, B
10,B,21.0,1, B,18.25,4, B
10,B,16.0,1, B,17.0,1, B
10,B,5.0,1,A ,23.0,1, B
10,B,5.0,1, B,12.0,1, B
10,B,8.0,2, B,8.0,3,A B
10,B,8.0,1, B,12.0,1, B
10,B,6.0,1, B,9.0,1, B
10,B,10.0,1, B,13.0,1, B
10,B,13.0,1, B,11.666666666666666,3, B
10,B,14.0,1, B,14.75,4, B
10,B,4.0,1,A ,16.0,1, B
10,B,8.0,1, B,14.0,1, B
10,B,9.0,1, B,13.5,2, B
10,B,10.0,2, B,12.0,1, B
10,B,18.0,1, B,14.428571428571429,7, B
10,B,6.0,1, B,11.0,1, B
10,B,10.0,1, B,16.0,2, B
10,B,5.0,1,A ,16.0,1, B
10,B,3.0,1,A ,12.0,1, B
10,B,7.0,1, B,15.0,1, B
10,B,14.0,1, B,12.5,2, B
10,B,8.0,1, B,15.666666666666666,3, B
10,B,4.0,1,A ,16.75,8, B
10,B,14.0,1, B,20.0,1, B
10,B,6.0,1, B,17.0,2, B
10,B,6.0,1,A ,37.0,1, B
10,B,7.0,1, B,14.0,1, B
10,B,7.0,1, B,16.75,8,A B
10,B,21.0,1, B,15.285714285714286,7, B
10,B,11.0,1, B,19.0,4, B
10,B,12.0,1, B,12.75,4, B
10,B,3.0,1,A ,20.0,1, B
10,B,3.0,1,A ,13.0,1, B
10,B,5.0,1, B,18.5,2, B
10,B,8.0,1, B,10.5,2,A B
10,B,6.0,1, B,12.333333333333334,3,A B
10,B,12.0,1, B,14.666666666666666,3, B
10,B,12.0,1, B,13.0,1, B
10,B,4.0,1, B,11.0,1, B
10,B,4.0,1, B,17.4,5, B
10,B,9.0,1, B,15.0,1, B
10,B,18.0,1, B,16.75,4, B
10,B,20.0,1, B,13.0,5, B
10,B,11.0,1, B,12.5,2, B
10,B,9.0,1, B,13.5,4, B
10,B,4.0,1, B,18.0,1, B
10,B,8.0,1, B,8.5,2, B
10,B,7.0,1, B,19.6,5, B
10,B,13.5,2, B,13.0,1, B
10,B,11.0,1, B,15.0,2, B
10,B,10.0,1, B,13.8,5, B
10,B,9.0,1, B,13.333333333333334,3, B
10,B,6.0,1, B,18.0,1, B
10,B,7.0,1, B,19.5,4, B
10,B,15.0,1, B,14.666666666666666,3, B
10,B,14.0,1, B,18.25,8, B
10,B,9.5,2, B,16.875,16, B
10,B,10.0,1, B,12.75,4, B
10,B,9.0,1, B,14.75,4, B
10,B,20.0,1, B,14.0,1, B
10,B,11.0,1, B,12.285714285714286,7, B
10,B,12.0,1, B,12.090909090909092,11, B
10,B,8.0,1, B,14.5,2, B
10,B,8.0,1, B,17.0,1, B
10,B,11.0,1, B,12.8,5, B
10,B,8.0,1, B,11.666666666666666,3,A B
9,B,9.0,1, B,16.0,1, B
9,B,9.0,1, B,12.583333333333334,12,A B
9,B,8.0,1, B,12.0,2, B
9,B,15.0,1, B,16.0,3, B
9,B,12.0,1, B,13.0,1, B
9,B,8.0,1, B,10.666666666666666,6, B
9,B,8.0,1, B,9.333333333333334,3, B
9,B,6.0,1,A ,16.0,1, B
9,B,6.0,1, B,17.0,1, B
9,B,4.0,1,A ,8.0,1, B
9,B,15.0,1, B,14.6,5,A B
9,B,5.0,1,A ,22.0,2, B
9,B,4.0,1,A ,13.5,8, B
9,B,14.0,1, B,9.5,2, B
9,B,7.0,1, B,13.0,3, B
9,B,9.0,1, B,11.777777777777779,9, B
9,B,3.0,1,A ,12.0,4, B
9,B,13.0,1, B,13.5,2, B
9,B,8.0,1, B,12.0,1, B
9,B,7.0,1, B,14.25,4, B
