file, flesch_kincaid_grade, dale_chall_readability_score
data/English Textbook 4 Readability Level/easy/5-sci-7.tei,5.2,6.1
data/English Textbook 4 Readability Level/easy/5-sci-8.tei,7.6,7.07
data/English Textbook 4 Readability Level/easy/6-artCraft-1.tei,4.8,6.81
data/English Textbook 4 Readability Level/easy/6-artCraft-2.tei,5.2,6.94
data/English Textbook 4 Readability Level/easy/6-artCraft-3.tei,4.0,5.97
data/English Textbook 4 Readability Level/easy/6-budh-1.tei,5.2,7.05
data/English Textbook 4 Readability Level/easy/6-budh-10.tei,8.0,8.02
data/English Textbook 4 Readability Level/easy/6-budh-11.tei,8.0,8.3
data/English Textbook 4 Readability Level/easy/6-budh-2.tei,6.8,8.26
data/English Textbook 4 Readability Level/easy/6-budh-3.tei,6.8,7.25
data/English Textbook 4 Readability Level/easy/6-budh-4.tei,6.8,7.91
data/English Textbook 4 Readability Level/easy/6-budh-5.tei,4.4,6.68
data/English Textbook 4 Readability Level/easy/6-budh-6.tei,7.2,8.16
data/English Textbook 4 Readability Level/easy/6-budh-7.tei,8.0,7.37
data/English Textbook 4 Readability Level/easy/6-budh-8.tei,6.8,7.62
data/English Textbook 4 Readability Level/easy/6-budh-9.tei,5.2,6.39
data/English Textbook 4 Readability Level/easy/6-christ-1.tei,3.7,6.0
data/English Textbook 4 Readability Level/easy/6-christ-2.tei,3.7,6.32
data/English Textbook 4 Readability Level/easy/6-christ-3.tei,4.4,6.58
data/English Textbook 4 Readability Level/easy/6-christ-5.tei,4.0,6.78
data/English Textbook 4 Readability Level/easy/6-christ-6.tei,4.0,6.43
data/English Textbook 4 Readability Level/easy/6-christ-7.tei,4.0,5.87
data/English Textbook 4 Readability Level/easy/6-christ-8.tei,4.4,6.0
data/English Textbook 4 Readability Level/easy/6-christ-9.tei,4.0,6.08
data/English Textbook 4 Readability Level/easy/6-genSci-1.tei,4.8,6.01
data/English Textbook 4 Readability Level/easy/6-genSci-10.tei,5.2,6.14
data/English Textbook 4 Readability Level/easy/6-genSci-11.tei,6.0,6.11
data/English Textbook 4 Readability Level/easy/6-genSci-12.tei,7.6,6.49
data/English Textbook 4 Readability Level/easy/6-genSci-13.tei,6.4,6.66
data/English Textbook 4 Readability Level/easy/6-genSci-14.tei,6.8,7.42
data/English Textbook 4 Readability Level/easy/6-genSci-15.tei,7.6,7.57
data/English Textbook 4 Readability Level/easy/6-genSci-16.tei,6.8,7.33
data/English Textbook 4 Readability Level/easy/6-genSci-17.tei,8.0,8.25
data/English Textbook 4 Readability Level/easy/6-genSci-18.tei,6.4,7.93
data/English Textbook 4 Readability Level/easy/6-genSci-19.tei,6.8,7.5
data/English Textbook 4 Readability Level/easy/6-genSci-2.tei,7.6,6.66
data/English Textbook 4 Readability Level/easy/5-christ-15.tei,6.8,7.31
data/English Textbook 4 Readability Level/easy/5-islam-4.tei,4.8,7.11
data/English Textbook 4 Readability Level/easy/5-sci-9.tei,6.8,6.46
data/English Textbook 4 Readability Level/easy/6-christ-4.tei,3.7,5.98
data/English Textbook 4 Readability Level/easy/6-genSci-20.tei,7.2,8.32
data/English Textbook 4 Readability Level/easy/6-genSci-3.tei,6.4,6.73
data/English Textbook 4 Readability Level/easy/6-genSci-4.tei,7.2,7.48
data/English Textbook 4 Readability Level/easy/6-genSci-5.tei,6.4,7.14
data/English Textbook 4 Readability Level/easy/6-genSci-6.tei,6.0,7.33
data/English Textbook 4 Readability Level/easy/6-genSci-7.tei,6.0,7.06
data/English Textbook 4 Readability Level/easy/6-genSci-8.tei,5.2,6.99
data/English Textbook 4 Readability Level/easy/6-genSci-9.tei,5.6,7.05
data/English Textbook 4 Readability Level/easy/6-homeEco-1.tei,5.6,6.67
data/English Textbook 4 Readability Level/easy/6-homeEco-2.tei,6.8,6.66
data/English Textbook 4 Readability Level/easy/6-homeEco-3.tei,6.4,6.81
data/English Textbook 4 Readability Level/easy/6-homeEco-4.tei,6.4,6.84
data/English Textbook 4 Readability Level/easy/6-homeEco-5.tei,4.0,6.41
data/English Textbook 4 Readability Level/easy/6-homeEco-6.tei,5.6,7.16
data/English Textbook 4 Readability Level/easy/6-islam-1.tei,5.6,6.74
data/English Textbook 4 Readability Level/easy/6-islam-2.tei,4.8,6.6
data/English Textbook 4 Readability Level/easy/6-islam-3.tei,5.2,6.82
data/English Textbook 4 Readability Level/easy/6-islam-4.tei,5.2,6.75
data/English Textbook 4 Readability Level/easy/6-islam-5.tei,5.2,6.98
data/English Textbook 4 Readability Level/easy/6-phyStud-1.tei,6.0,6.4
data/English Textbook 4 Readability Level/easy/6-phyStud-2.tei,4.8,6.24
data/English Textbook 4 Readability Level/easy/6-phyStud-3.tei,4.4,6.1
data/English Textbook 4 Readability Level/easy/6-phyStud-4.tei,4.0,6.14
data/English Textbook 4 Readability Level/easy/6-phyStud-5.tei,5.2,7.29
data/English Textbook 4 Readability Level/easy/6-phyStud-6.tei,5.2,7.49
data/English Textbook 4 Readability Level/easy/6-phyStud-7.tei,5.2,6.65
data/English Textbook 4 Readability Level/easy/6-phyStud-8.tei,5.2,6.78
data/English Textbook 4 Readability Level/easy/6-phyStud-9.tei,5.6,7.2
data/English Textbook 4 Readability Level/medium/7-agri-1.tei,5.2,7.41
data/English Textbook 4 Readability Level/medium/7-agri-10.tei,5.2,7.26
data/English Textbook 4 Readability Level/medium/7-agri-11.tei,8.0,7.67
data/English Textbook 4 Readability Level/medium/7-agri-12.tei,4.8,6.66
data/English Textbook 4 Readability Level/medium/7-agri-13.tei,5.2,7.04
data/English Textbook 4 Readability Level/medium/7-agri-14.tei,5.6,7.12
