file, flesch_kincaid_grade, dale_chall_readability_score
data/Vietnamese_by_catalog/Difficult/l/l (34).txt,3.4,2.42
data/Vietnamese_by_catalog/Difficult/l/l (35).txt,-3.5,1.54
data/Vietnamese_by_catalog/Difficult/l/l (37).txt,5.8,2.72
data/Vietnamese_by_catalog/Difficult/l/l (38).txt,-2.1,1.71
data/Vietnamese_by_catalog/Difficult/l/l (4).txt,-1.5,1.79
data/Vietnamese_by_catalog/Difficult/l/l (42).txt,-2.4,1.67
data/Vietnamese_by_catalog/Difficult/l/l (44).txt,-4.1,1.46
data/Vietnamese_by_catalog/Difficult/l/l (46).txt,1.0,2.11
data/Vietnamese_by_catalog/Difficult/l/l (49).txt,-0.5,1.92
data/Vietnamese_by_catalog/Difficult/l/l (5).txt,-0.3,1.95
data/Vietnamese_by_catalog/Difficult/l/l (50).txt,-1.1,1.85
data/Vietnamese_by_catalog/Difficult/l/l (51).txt,-1.0,1.86
data/Vietnamese_by_catalog/Difficult/l/l (52).txt,-2.0,1.73
data/Vietnamese_by_catalog/Difficult/l/l (54).txt,-2.1,1.71
data/Vietnamese_by_catalog/Difficult/l/l (55).txt,2.4,2.29
data/Vietnamese_by_catalog/Difficult/l/l (81).txt,-4.5,1.41
data/Vietnamese_by_catalog/Difficult/l/l (82).txt,-7.4,1.05
data/Vietnamese_by_catalog/Difficult/l/l (84).txt,7.5,2.93
data/Vietnamese_by_catalog/Difficult/l/l (85).txt,-3.1,1.59
data/Vietnamese_by_catalog/Difficult/l/l (86).txt,-0.0,1.98
data/Vietnamese_by_catalog/Difficult/l/l (87).txt,-1.9,1.74
data/Vietnamese_by_catalog/Difficult/l/l (88).txt,-1.2,1.83
data/Vietnamese_by_catalog/Difficult/l/l (89).txt,-1.8,1.75
data/Vietnamese_by_catalog/Difficult/l/l (9).txt,7.1,2.89
data/Vietnamese_by_catalog/Difficult/l/l (90).txt,-0.3,1.95
data/Vietnamese_by_catalog/Difficult/l/l (91).txt,4.0,2.49
data/Vietnamese_by_catalog/Difficult/l/l (93).txt,-3.5,1.53
data/Vietnamese_by_catalog/Difficult/l/l (94).txt,-0.5,1.91
data/Vietnamese_by_catalog/Difficult/l/l (95).txt,-3.7,1.51
data/Vietnamese_by_catalog/Difficult/l/l (96).txt,2.9,2.35
data/Vietnamese_by_catalog/Difficult/l/l (97).txt,-1.3,1.82
data/Vietnamese_by_catalog/Difficult/lv/lv (1).txt,-2.3,1.69
data/Vietnamese_by_catalog/Difficult/lv/lv (10).txt,-2.0,1.73
data/Vietnamese_by_catalog/Difficult/lv/lv (100).txt,-1.4,1.81
data/Vietnamese_by_catalog/Difficult/lv/lv (101).txt,7.2,2.9
data/Vietnamese_by_catalog/Difficult/lv/lv (102).txt,-3.0,1.6
data/Vietnamese_by_catalog/Difficult/lv/lv (103).txt,-3.9,1.49
data/Vietnamese_by_catalog/Difficult/lv/lv (104).txt,-3.9,1.48
data/Vietnamese_by_catalog/Difficult/lv/lv (105).txt,-2.7,1.64
data/Vietnamese_by_catalog/Difficult/lv/lv (106).txt,-2.3,1.69
data/Vietnamese_by_catalog/Difficult/lv/lv (107).txt,-2.0,1.73
data/Vietnamese_by_catalog/Difficult/lv/lv (108).txt,-3.7,1.51
data/Vietnamese_by_catalog/Difficult/lv/lv (11).txt,-1.8,1.75
data/Vietnamese_by_catalog/Difficult/lv/lv (12).txt,-1.2,1.83
data/Vietnamese_by_catalog/Difficult/lv/lv (13).txt,-4.3,1.44
data/Vietnamese_by_catalog/Difficult/lv/lv (14).txt,-2.6,1.66
data/Vietnamese_by_catalog/Difficult/lv/lv (15).txt,-3.0,1.6
data/Vietnamese_by_catalog/Difficult/lv/lv (16).txt,-3.3,1.56
data/Vietnamese_by_catalog/Difficult/lv/lv (17).txt,-1.3,1.82
data/Vietnamese_by_catalog/Difficult/lv/lv (18).txt,-4.0,1.47
data/Vietnamese_by_catalog/Difficult/lv/lv (19).txt,-0.3,1.95
data/Vietnamese_by_catalog/Difficult/lv/lv (2).txt,-0.6,1.91
data/Vietnamese_by_catalog/Difficult/lv/lv (20).txt,-1.4,1.81
data/Vietnamese_by_catalog/Difficult/lv/lv (22).txt,-4.3,1.44
data/Vietnamese_by_catalog/Difficult/lv/lv (23).txt,-4.5,1.41
data/Vietnamese_by_catalog/Difficult/lv/lv (24).txt,-4.9,1.35
data/Vietnamese_by_catalog/Difficult/lv/lv (25).txt,-1.1,1.84
data/Vietnamese_by_catalog/Difficult/lv/lv (26).txt,-3.6,1.53
data/Vietnamese_by_catalog/Difficult/lv/lv (27).txt,-4.6,1.4
data/Vietnamese_by_catalog/Difficult/lv/lv (28).txt,-2.3,1.7
data/Vietnamese_by_catalog/Difficult/lv/lv (29).txt,-4.0,1.47
data/Vietnamese_by_catalog/Difficult/lv/lv (3).txt,-5.4,1.29
data/Vietnamese_by_catalog/Difficult/lv/lv (30).txt,-1.1,1.85
data/Vietnamese_by_catalog/Difficult/lv/lv (31).txt,-6.0,1.22
data/Vietnamese_by_catalog/Difficult/lv/lv (32).txt,-1.5,1.79
data/Vietnamese_by_catalog/Difficult/lv/lv (33).txt,-1.1,1.85
data/Vietnamese_by_catalog/Difficult/lv/lv (34).txt,-2.5,1.67
data/Vietnamese_by_catalog/Difficult/lv/lv (35).txt,-3.2,1.57
data/Vietnamese_by_catalog/Difficult/lv/lv (36).txt,0.5,2.04
data/Vietnamese_by_catalog/Difficult/lv/lv (37).txt,-2.2,1.71
data/Vietnamese_by_catalog/Difficult/lv/lv (38).txt,-3.0,1.6
data/Vietnamese_by_catalog/Difficult/lv/lv (39).txt,-2.6,1.66
data/Vietnamese_by_catalog/Difficult/lv/lv (4).txt,-7.0,1.1
data/Vietnamese_by_catalog/Difficult/lv/lv (40).txt,-0.3,1.95
data/Vietnamese_by_catalog/Difficult/lv/lv (42).txt,-4.0,1.48
data/Vietnamese_by_catalog/Difficult/lv/lv (43).txt,-5.0,1.35
data/Vietnamese_by_catalog/Difficult/lv/lv (44).txt,-3.1,1.59
data/Vietnamese_by_catalog/Difficult/lv/lv (45).txt,-2.1,1.72
data/Vietnamese_by_catalog/Difficult/lv/lv (46).txt,-2.8,1.62
data/Vietnamese_by_catalog/Difficult/lv/lv (47).txt,-4.1,1.46
data/Vietnamese_by_catalog/Difficult/lv/lv (48).txt,-1.2,1.83
data/Vietnamese_by_catalog/Difficult/lv/lv (49).txt,2.0,2.24
data/Vietnamese_by_catalog/Difficult/lv/lv (5).txt,-3.0,1.6
data/Vietnamese_by_catalog/Difficult/lv/lv (50).txt,-2.4,1.68
data/Vietnamese_by_catalog/Difficult/lv/lv (51).txt,-2.0,1.73
data/Vietnamese_by_catalog/Difficult/lv/lv (53).txt,-1.8,1.76
data/Vietnamese_by_catalog/Difficult/lv/lv (54).txt,-3.7,1.51
data/Vietnamese_by_catalog/Difficult/lv/lv (55).txt,-2.3,1.69
data/Vietnamese_by_catalog/Difficult/lv/lv (56).txt,-2.3,1.69
data/Vietnamese_by_catalog/Difficult/lv/lv (57).txt,-2.4,1.68
data/Vietnamese_by_catalog/Difficult/lv/lv (58).txt,-1.7,1.77
data/Vietnamese_by_catalog/Difficult/lv/lv (6).txt,-1.5,1.8
data/Vietnamese_by_catalog/Difficult/lv/lv (60).txt,-1.2,1.83
data/Vietnamese_by_catalog/Difficult/lv/lv (62).txt,-0.9,1.86
data/Vietnamese_by_catalog/Difficult/lv/lv (64).txt,-6.9,1.1
data/Vietnamese_by_catalog/Difficult/lv/lv (65).txt,-3.0,1.61
data/Vietnamese_by_catalog/Difficult/lv/lv (66).txt,-4.5,1.41
data/Vietnamese_by_catalog/Difficult/lv/lv (68).txt,-1.5,1.8
data/Vietnamese_by_catalog/Difficult/lv/lv (69).txt,-5.4,1.3
data/Vietnamese_by_catalog/Difficult/lv/lv (7).txt,0.8,2.08
data/Vietnamese_by_catalog/Difficult/lv/lv (70).txt,-2.9,1.62
data/Vietnamese_by_catalog/Difficult/lv/lv (71).txt,-2.4,1.68
data/Vietnamese_by_catalog/Difficult/lv/lv (72).txt,-3.1,1.59
