10,B,4.0,1,A ,20.0,1, B
10,B,9.0,1,A ,22.0,1, B
10,B,6.0,1,A ,15.333333333333334,3, B
10,B,4.0,1,A ,15.0,1, B
10,B,9.0,1, B,14.5,2, B
10,B,7.0,1,A ,20.5,2, B
10,B,15.0,1, B,14.0,3, B
10,B,9.0,1,A ,13.0,1, B
10,B,4.0,1,A ,14.5,4,A B
10,B,4.0,1,A ,16.333333333333332,3, B
10,B,3.0,1,A ,14.0,1, B
10,B,4.0,1,A ,15.666666666666666,3, B
10,B,5.0,1,A ,10.0,2,A B
10,B,13.0,1, B,16.0,1, B
10,B,4.0,1,A ,14.5,2, B
10,B,10.0,1, B,14.0,3, B
10,B,5.0,1,A ,10.0,1,A 
10,B,5.0,1,A ,17.5,2, B
10,B,13.0,1, B,15.0,1, B
10,B,4.0,1,A ,16.0,1, B
10,B,5.0,1,A ,19.0,1, B
10,B,10.0,1,A ,12.0,3, B
10,B,4.0,1,A ,16.5,2, B
10,B,6.0,1,A ,15.0,2, B
10,B,11.0,1, B,14.0,1, B
10,B,5.0,1,A ,15.0,3, B
10,B,4.0,1,A ,20.0,2, B
10,B,8.0,1,A ,15.0,2, B
10,B,4.0,1,A ,13.5,2, B
10,B,4.0,1,A ,13.5,2, B
10,B,4.0,1,A ,15.4,5, B
10,B,18.0,1, B,16.0,1, B
9,B,4.0,1,A ,12.5,2, B
9,B,5.0,1,A ,18.0,1, B
9,B,13.0,1, B,15.5,6,A B
9,B,4.0,1,A ,14.0,1, B
9,B,9.0,1, B,13.0,1, B
9,B,3.0,1,A ,15.0,3,A B
9,B,13.0,1, B,12.0,4, B
9,B,3.0,1,A ,16.0,2, B
9,B,7.0,1,A ,15.5,2, B
9,B,12.0,1, B,22.0,1, B
9,B,11.0,1, B,21.0,1, B
9,B,4.0,1,A ,16.0,2, B
9,B,4.0,1,A ,14.25,4, B
9,B,4.0,1,A ,13.0,2, B
8,B,12.0,1, B,13.0,1, B
8,B,4.0,1,A ,12.0,1, B
8,B,4.0,1,A ,13.0,1, B
8,B,9.0,1, B,13.0,1, B
8,B,4.0,1,A ,14.666666666666666,3, B
8,B,3.0,1,A ,12.75,4, B
8,B,11.0,1, B,14.5,2, B
8,B,5.0,1,A ,14.5,2, B
8,B,9.0,1, B,17.0,4, B
8,B,4.0,1,A ,13.0,2, B
8,B,5.0,1,A ,12.5,2, B
7,B,9.0,1,A ,10.0,1, B
7,B,3.0,1,A ,12.666666666666666,3, B
13,A,13.0,1, B,20.5,2, B
11,A,8.0,1, B,17.0,1, B
6,A,8.0,1,A ,13.0,6,A 
20,A,7.0,1,A ,28.0,1, B
18,A,11.333333333333334,3,A B,14.0,2,A 
18,A,9.0,1,A ,30.0,1, B
16,A,9.0,1,A ,20.5,2,A B
16,A,10.0,1,A ,27.0,1, B
16,A,7.0,1,A ,25.333333333333332,3, B
16,A,12.0,1, B,25.0,1, B
15,A,12.0,1, B,25.0,1, B
15,A,8.0,1,A ,27.0,1, B
15,A,14.0,1, B,20.5,2,A B
15,A,9.0,1,A ,22.5,2, B
15,A,12.0,2,A B,21.0,2, B
14,A,9.0,1,A ,14.0,1, B
14,A,12.0,1, B,26.0,1, B
14,A,14.0,1, B,19.0,1,A 
14,A,14.0,1, B,19.5,2, B
14,A,13.0,1,A ,21.0,1, B
14,A,4.0,1,A ,15.5,2, B
14,A,19.0,1, B,19.5,2, B
14,A,21.0,1, B,20.0,2, B
14,A,11.0,1,A ,24.0,3, B
14,A,7.0,1,A ,13.0,1,A 
13,A,8.0,1,A ,23.0,3, B
13,A,14.0,1, B,16.0,2,A 
13,A,15.0,1, B,19.0,1,A 
13,A,8.0,1,A ,17.0,1, B
13,A,11.0,1,A ,20.666666666666668,3, B
13,A,12.0,1,A ,11.0,1, B
13,A,16.0,1, B,17.0,2,A B
13,A,14.0,1, B,20.0,1,A 
13,A,11.0,1,A ,22.0,1, B
13,A,10.0,1,A ,18.0,1,A 
13,A,13.0,1, B,17.0,1,A 
13,A,18.0,1, B,23.0,3, B
13,A,7.0,1,A ,28.0,1, B
13,A,7.0,1,A ,25.333333333333332,3, B
13,A,9.0,1,A ,20.4,5,A B
13,A,20.0,1, B,18.0,2,A B
12,A,7.0,1,A ,15.0,1,A 
12,A,15.0,1, B,15.0,1,A 
12,A,19.0,1, B,24.0,1, B
12,A,13.0,1,A ,17.25,4, B
12,A,8.0,1,A ,17.8,5,A B
12,A,11.0,1,A ,18.666666666666668,6,A B
