file,totalWords, totalSentences, totalLetter
data/ppVietnamese_by_catalog/Difficult/l/l (182).txt,1962,70,12518
data/ppVietnamese_by_catalog/Difficult/l/l (60).txt,1771,55,15330
data/ppVietnamese_by_catalog/Difficult/tl/tl (139).txt,8681,470,60166
data/ppVietnamese_by_catalog/Difficult/l/l (125).txt,2121,62,15768
data/ppVietnamese_by_catalog/Difficult/tl/tl (152).txt,5166,238,35651
data/ppVietnamese_by_catalog/Difficult/l/l (206).txt,1213,32,8391
data/ppVietnamese_by_catalog/Difficult/l/l (204).txt,7006,252,50597
data/ppVietnamese_by_catalog/Difficult/l/l (87).txt,3782,119,25419
data/ppVietnamese_by_catalog/Difficult/l/l (37).txt,6151,115,42866
data/ppVietnamese_by_catalog/Difficult/l/l (190).txt,6944,298,49063
data/ppVietnamese_by_catalog/Difficult/l/l (214).txt,5257,189,41570
data/ppVietnamese_by_catalog/Difficult/l/l (145).txt,2125,51,15042
data/ppVietnamese_by_catalog/Difficult/l/l (97).txt,5288,214,35222
data/ppVietnamese_by_catalog/Difficult/l/l (157).txt,5099,181,32393
data/ppVietnamese_by_catalog/Difficult/l/l (175).txt,6561,172,46360
data/ppVietnamese_by_catalog/Difficult/l/l (75).txt,7564,282,53052
data/ppVietnamese_by_catalog/Difficult/l/l (135).txt,5075,171,36278
data/ppVietnamese_by_catalog/Difficult/l/l (41).txt,5739,198,39754
data/ppVietnamese_by_catalog/Difficult/l/l (80).txt,7670,314,53663
data/ppVietnamese_by_catalog/Difficult/l/l (130).txt,6773,254,52059
data/ppVietnamese_by_catalog/Difficult/l/l (156).txt,1565,45,12055
data/ppVietnamese_by_catalog/Difficult/l/l (119).txt,2652,90,18702
data/ppVietnamese_by_catalog/Difficult/l/l (118).txt,3296,136,27510
data/ppVietnamese_by_catalog/Difficult/l/l (225).txt,5760,233,39881
data/ppVietnamese_by_catalog/Difficult/l/l (24).txt,4947,139,32874
data/ppVietnamese_by_catalog/Difficult/l/l (195).txt,7764,284,59870
data/ppVietnamese_by_catalog/Difficult/l/l (133).txt,1938,68,12711
data/ppVietnamese_by_catalog/Difficult/l/l (212).txt,5263,153,40282
data/ppVietnamese_by_catalog/Difficult/l/l (203).txt,6531,171,46461
data/ppVietnamese_by_catalog/Difficult/l/l (123).txt,8938,238,62983
data/ppVietnamese_by_catalog/Difficult/l/l (150).txt,1853,46,12860
data/ppVietnamese_by_catalog/Difficult/l/l (64).txt,6978,185,50540
data/ppVietnamese_by_catalog/Difficult/l/l (111).txt,3578,134,28156
data/ppVietnamese_by_catalog/Difficult/l/l (208).txt,5300,140,32366
data/ppVietnamese_by_catalog/Difficult/l/l (8).txt,2046,47,14061
data/ppVietnamese_by_catalog/Difficult/l/l (164).txt,8726,294,57635
data/ppVietnamese_by_catalog/Difficult/l/l (172).txt,3356,132,24654
data/ppVietnamese_by_catalog/Difficult/l/l (210).txt,1463,53,12709
data/ppVietnamese_by_catalog/Difficult/l/l (4).txt,4900,155,35461
data/ppVietnamese_by_catalog/Difficult/l/l (104).txt,5022,178,38688
data/ppVietnamese_by_catalog/Difficult/l/l (200).txt,4730,196,32349
data/ppVietnamese_by_catalog/Difficult/l/l (86).txt,848,21,5571
data/ppVietnamese_by_catalog/Difficult/l/l (220).txt,645,26,4203
data/ppVietnamese_by_catalog/Difficult/l/l (20).txt,1667,28,11764
data/ppVietnamese_by_catalog/Difficult/l/l (177).txt,6558,220,41994
data/ppVietnamese_by_catalog/Difficult/l/l (215).txt,677,19,5102
data/ppVietnamese_by_catalog/Difficult/l/l (205).txt,2532,55,16843
data/ppVietnamese_by_catalog/Difficult/l/l (178).txt,8635,278,65261
data/ppVietnamese_by_catalog/Difficult/l/l (72).txt,2297,77,15566
data/ppVietnamese_by_catalog/Difficult/l/l (101).txt,1213,32,8391
data/ppVietnamese_by_catalog/Difficult/l/l (107).txt,688,27,4228
data/ppVietnamese_by_catalog/Difficult/l/l (121).txt,8965,363,65958
data/ppVietnamese_by_catalog/Difficult/l/l (134).txt,3156,109,22460
data/ppVietnamese_by_catalog/Difficult/l/l (202).txt,5086,194,37870
data/ppVietnamese_by_catalog/Difficult/l/l (17).txt,5961,179,41731
data/ppVietnamese_by_catalog/Difficult/l/l (42).txt,11019,444,76749
