file,totalWords, totalSentences, totalLetter
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (281).txt,287,13,1842
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (333).txt,135,5,820
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (131).txt,392,16,2982
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (500).txt,869,61,5571
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (206).txt,221,11,1343
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (306).txt,293,15,1689
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (235).txt,111,5,726
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (398).txt,723,30,4686
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (171).txt,46,3,311
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (202).txt,364,20,2258
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (351).txt,836,36,5473
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (471).txt,119,3,1024
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (28).txt,1257,67,8150
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (232).txt,697,28,4385
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (230).txt,151,7,910
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (181).txt,664,31,3926
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (112).txt,297,14,1885
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (387).txt,228,13,1381
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (168).txt,182,8,1141
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (302).txt,99,4,637
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (431).txt,138,6,855
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (146).txt,739,26,5343
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (325).txt,2585,109,16269
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (375).txt,442,17,2785
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (182).txt,811,38,4550
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (418).txt,637,27,3871
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (397).txt,963,40,5553
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (323).txt,623,34,4077
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (114).txt,840,41,5570
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (261).txt,177,10,1100
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (17).txt,462,17,3224
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (55).txt,241,12,1462
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (207).txt,543,23,3362
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (372).txt,852,45,5141
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (71).txt,349,26,2070
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (420).txt,285,11,1726
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (143).txt,173,11,1040
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (23).txt,791,30,4849
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (310).txt,442,21,2849
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (20).txt,1100,59,6694
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (257).txt,296,13,2116
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (360).txt,154,8,879
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (79).txt,419,18,2613
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (400).txt,795,30,5409
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (470).txt,225,6,1426
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (222).txt,153,7,929
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (234).txt,1374,74,7961
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (501).txt,398,28,2651
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (228).txt,761,47,4642
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (118).txt,1435,77,8948
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (141).txt,520,20,3177
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (507).txt,175,8,1017
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (54).txt,174,8,1038
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (137).txt,234,14,1438
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (134).txt,623,33,3387
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (12).txt,1148,52,7147
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (374).txt,624,29,4189
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (344).txt,118,5,744
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (294).txt,179,7,1106
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (125).txt,500,20,3338
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (19).txt,141,5,1026
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (452).txt,884,29,5475
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (366).txt,1322,45,8648
